dataset,model,noise_level,R2,RMSE,MAE,MAAPE,relative_L2_percent
rockmb_2025_paper_70_30,PeriodicMonotone,0.0,0.9436200261116028,0.9535011112244668,0.4859590232372284,0.1959160715341568,19.228652119636536
rockmb_2025_paper_70_30,ResidualPeriodicMonotone,0.0,0.9561560153961182,0.8408410117407134,0.4326705038547516,0.1851349472999572,16.95670783519745
rockmb_2025_paper_70_30,PeriodicMonotone,0.05,0.9532370567321776,0.8683796498020541,0.4343245923519134,0.1897333711385727,17.512060701847076
rockmb_2025_paper_70_30,ResidualPeriodicMonotone,0.05,0.9564540386199952,0.837978296205971,0.447666198015213,0.1884128898382187,16.898977756500244
rockmb_2025_paper_70_30,PeriodicMonotone,0.1,0.9251863956451416,1.0983708997697448,0.6074780821800232,0.2464120090007782,22.1501499414444
rockmb_2025_paper_70_30,ResidualPeriodicMonotone,0.1,0.9477689266204834,0.917747698201925,0.522768497467041,0.2290468066930771,18.507635593414307
rockmb_2025_paper_70_30,PeriodicMonotone,0.2,0.923715114593506,1.1091187946890189,0.7180402874946594,0.3034651279449463,22.366896271705627
rockmb_2025_paper_70_30,ResidualPeriodicMonotone,0.2,0.9280465841293336,1.0771706821776623,0.681183397769928,0.2845523953437805,21.722617745399475
