Variant,$R^2$,RMSE,MAE,MAAPE,Rel. $L_2$
"Raw $\sigma$, raw $\tau$ MLP",0.8665801286697388,1.4667937053945863,0.5382348299026489,0.2048275619745254,29.579898715019223
"Log $\sigma$, raw $\tau$ MLP",0.8611823320388794,1.4961707989247264,0.5276899933815002,0.1970162838697433,30.172327160835263
"Raw $\sigma$, asinh $\tau$ MLP",0.8858788013458252,1.3565691787706464,0.5104926824569702,0.1807499378919601,27.35706865787506
"Log $\sigma$, asinh $\tau$ MLP",0.9176746606826782,1.1521939455063646,0.4748137891292572,0.1786336302757263,23.23556542396545
\textbf{GeoSPIN integral},0.9463278651237488,0.9303219017140618,0.4693045020103454,0.1887736767530441,18.76121461391449
