curve_id,normal_stress_mpa,step_idx,time_s,shear_displacement_mm,dilation_proxy_mm,raw_shear_load_kn,shifted_shear_load_kn,calibrated_shear_stress_mpa
direct_shear_full_1MPa,1.0,52,5.1,-0.05200000000000049,-0.052,-0.786,0.07399999999999984,0.0019648255935027035
direct_shear_full_1MPa,1.0,53,5.2,-0.055000000000000604,-0.055,-0.785,0.07499999999999973,0.0019913772907121964
direct_shear_full_1MPa,1.0,54,5.3,-0.057000000000000384,-0.057,-0.8,0.06000000000000005,0.0015931018325697642
direct_shear_full_1MPa,1.0,55,5.4,-0.05600000000000005,-0.056,-0.818,0.041999999999999815,0.0011151712827988291
direct_shear_full_1MPa,1.0,56,5.5,-0.057000000000000384,-0.057,-0.818,0.041999999999999815,0.0011151712827988291
direct_shear_full_1MPa,1.0,57,5.6,-0.05800000000000072,-0.058,-0.822,0.03799999999999981,0.0010089644939608449
direct_shear_full_1MPa,1.0,58,5.7,-0.05900000000000016,-0.059,-0.833,0.02699999999999969,0.0007168958246563851
direct_shear_full_1MPa,1.0,59,5.8,-0.05800000000000072,-0.058,-0.83,0.029999999999999805,0.0007965509162848762
direct_shear_full_1MPa,1.0,60,5.9,-0.0600000000000005,-0.06,-0.835,0.02499999999999991,0.0006637924302373988
direct_shear_full_1MPa,1.0,61,6.0,-0.06099999999999994,-0.061,-0.838,0.021999999999999797,0.0005841373386089077
direct_shear_full_1MPa,1.0,62,6.0,-0.06099999999999994,-0.061,-0.845,0.015000000000000124,0.00039827545814244403
direct_shear_full_1MPa,1.0,63,6.1,-0.06099999999999994,-0.061,-0.838,0.021999999999999797,0.0005841373386089077
direct_shear_full_1MPa,1.0,64,6.2,-0.06300000000000061,-0.063,-0.842,0.017999999999999794,0.0004779305497709234
direct_shear_full_1MPa,1.0,65,6.3,-0.06500000000000039,-0.065,-0.858,0.0019999999999997797,5.310339441898625e-05
direct_shear_full_1MPa,1.0,66,6.4,-0.06200000000000028,-0.062,-0.86,0.0,0.0
direct_shear_full_1MPa,1.0,67,6.5,-0.06400000000000006,-0.064,-0.854,0.005999999999999783,0.00015931018325697054
direct_shear_full_1MPa,1.0,68,6.6,-0.06600000000000072,-0.066,-0.854,0.005999999999999783,0.00015931018325697054
direct_shear_full_1MPa,1.0,69,6.7,-0.06600000000000072,-0.066,-0.849,0.010999999999999677,0.00029206866930444795
direct_shear_full_1MPa,1.0,70,6.8,-0.06600000000000072,-0.066,-0.853,0.007000000000000117,0.00018586188046647545
direct_shear_full_1MPa,1.0,71,6.9,-0.06700000000000017,-0.067,-0.835,0.02499999999999991,0.0006637924302373988
direct_shear_full_1MPa,1.0,72,7.0,-0.06700000000000017,-0.067,-0.839,0.020999999999999908,0.0005575856413994146
direct_shear_full_1MPa,1.0,73,7.1,-0.0680000000000005,-0.068,-0.829,0.03100000000000014,0.0008231026134943812
direct_shear_full_1MPa,1.0,74,7.2,-0.06899999999999995,-0.069,-0.822,0.03799999999999981,0.0010089644939608449
direct_shear_full_1MPa,1.0,75,7.3,-0.0680000000000005,-0.068,-0.831,0.028999999999999915,0.0007699992190753831
direct_shear_full_1MPa,1.0,76,7.4,-0.06899999999999995,-0.069,-0.818,0.041999999999999815,0.0011151712827988291
direct_shear_full_1MPa,1.0,77,7.5,-0.07000000000000028,-0.07,-0.82,0.040000000000000036,0.0010620678883798429
direct_shear_full_1MPa,1.0,78,7.6,-0.07100000000000062,-0.071,-0.809,0.05099999999999971,0.0013541365576842908
direct_shear_full_1MPa,1.0,79,7.7,-0.07000000000000028,-0.07,-0.805,0.054999999999999716,0.001460343346522275
direct_shear_full_1MPa,1.0,80,7.8,-0.07100000000000062,-0.071,-0.807,0.052999999999999936,0.0014072399521032888
direct_shear_full_1MPa,1.0,81,7.9,-0.07200000000000006,-0.072,-0.781,0.07899999999999974,0.0020975840795501807
direct_shear_full_1MPa,1.0,82,8.0,-0.07100000000000062,-0.071,-0.774,0.08599999999999985,0.0022834459600166563
direct_shear_full_1MPa,1.0,83,8.0,-0.07200000000000006,-0.072,-0.77,0.08999999999999986,0.0023896527488546405
direct_shear_full_1MPa,1.0,84,8.1,-0.07500000000000018,-0.075,-0.763,0.09699999999999998,0.002575514629321116
direct_shear_full_1MPa,1.0,85,8.2,-0.07200000000000006,-0.072,-0.755,0.10499999999999998,0.0027879282069970847
direct_shear_full_1MPa,1.0,86,8.3,-0.0730000000000004,-0.073,-0.743,0.11699999999999999,0.0031065485735110375
direct_shear_full_1MPa,1.0,87,8.4,-0.07500000000000018,-0.075,-0.726,0.1339999999999999,0.003557927426072468
direct_shear_full_1MPa,1.0,88,8.5,-0.07500000000000018,-0.075,-0.72,0.1399999999999999,0.003717237609329444
direct_shear_full_1MPa,1.0,89,8.6,-0.07400000000000073,-0.074,-0.705,0.1549999999999998,0.004115513067471883
direct_shear_full_1MPa,1.0,90,8.7,-0.07600000000000051,-0.076,-0.69,0.16999999999999993,0.004513788525614327
direct_shear_full_1MPa,1.0,91,8.8,-0.07699999999999996,-0.077,-0.672,0.18799999999999972,0.00499171907538525
direct_shear_full_1MPa,1.0,92,8.9,-0.07600000000000051,-0.076,-0.661,0.19899999999999984,0.005283787744689709
direct_shear_full_1MPa,1.0,93,9.0,-0.07800000000000029,-0.078,-0.635,0.22499999999999987,0.0059741318721366074
direct_shear_full_1MPa,1.0,94,9.1,-0.07500000000000018,-0.075,-0.607,0.2529999999999999,0.006717579394002497
direct_shear_full_1MPa,1.0,95,9.2,-0.07699999999999996,-0.077,-0.588,0.2719999999999998,0.00722206164098292
direct_shear_full_1MPa,1.0,96,9.3,-0.07900000000000063,-0.079,-0.574,0.28600000000000003,0.007593785401915871
direct_shear_full_1MPa,1.0,97,9.4,-0.07800000000000029,-0.078,-0.563,0.29699999999999993,0.007885854071220324
direct_shear_full_1MPa,1.0,98,9.5,-0.07800000000000029,-0.078,-0.53,0.32999999999999985,0.008762060079133691
direct_shear_full_1MPa,1.0,99,9.6,-0.07900000000000063,-0.079,-0.511,0.34899999999999975,0.009266542326114114
direct_shear_full_1MPa,1.0,100,9.7,-0.08200000000000074,-0.082,-0.491,0.3689999999999998,0.009797576270304035
direct_shear_full_1MPa,1.0,101,9.8,-0.07800000000000029,-0.078,-0.454,0.4059999999999999,0.010779989067055393
direct_shear_full_1MPa,1.0,102,9.9,-0.08000000000000007,-0.08,-0.434,0.42599999999999993,0.011311023011245315
direct_shear_full_1MPa,1.0,103,10.0,-0.0810000000000004,-0.081,-0.412,0.44799999999999995,0.011895160349854229
direct_shear_full_1MPa,1.0,104,10.0,-0.08200000000000074,-0.082,-0.404,0.45599999999999996,0.012107573927530197
direct_shear_full_1MPa,1.0,105,10.1,-0.08000000000000007,-0.08,-0.37,0.48999999999999977,0.013010331632653057
direct_shear_full_1MPa,1.0,106,10.2,-0.0810000000000004,-0.081,-0.331,0.5289999999999999,0.014045847823823407
direct_shear_full_1MPa,1.0,107,10.3,-0.08300000000000018,-0.083,-0.308,0.5519999999999998,0.014656536859641814
direct_shear_full_1MPa,1.0,108,10.4,-0.0810000000000004,-0.081,-0.271,0.589,0.01563894965639317
direct_shear_full_1MPa,1.0,109,10.5,-0.08200000000000074,-0.082,-0.246,0.6139999999999999,0.01630274208663057
direct_shear_full_1MPa,1.0,110,10.6,-0.08300000000000018,-0.083,-0.219,0.6409999999999998,0.01701963791128696
direct_shear_full_1MPa,1.0,111,10.7,-0.08400000000000052,-0.084,-0.181,0.6789999999999998,0.018028602405247812
direct_shear_full_1MPa,1.0,112,10.8,-0.08200000000000074,-0.082,-0.154,0.706,0.01874549822990421
direct_shear_full_1MPa,1.0,113,10.9,-0.08300000000000018,-0.083,-0.12,0.7399999999999998,0.01964825593502707
direct_shear_full_1MPa,1.0,114,11.0,-0.08499999999999996,-0.085,-0.09,0.7699999999999998,0.02044480685131195
direct_shear_full_1MPa,1.0,115,11.1,-0.08400000000000052,-0.084,-0.062,0.7979999999999998,0.021188254373177843
direct_shear_full_1MPa,1.0,116,11.2,-0.0860000000000003,-0.086,-0.022,0.8379999999999999,0.022250322261557685
direct_shear_full_1MPa,1.0,117,11.3,-0.0860000000000003,-0.086,0.003,0.8629999999999998,0.022914114691795082
direct_shear_full_1MPa,1.0,118,11.4,-0.08499999999999996,-0.085,0.029,0.8889999999999998,0.02360445881924198
direct_shear_full_1MPa,1.0,119,11.5,-0.08700000000000063,-0.087,0.061,0.9209999999999998,0.024454113129945856
direct_shear_full_1MPa,1.0,120,11.6,-0.08700000000000063,-0.087,0.083,0.9429999999999998,0.02503825046855477
direct_shear_full_1MPa,1.0,121,11.7,-0.0860000000000003,-0.086,0.121,0.9809999999999999,0.02604721496251562
direct_shear_full_1MPa,1.0,122,11.9,-0.08700000000000063,-0.087,0.176,1.0359999999999998,0.0275075583090379
direct_shear_full_1MPa,1.0,123,12.0,-0.08900000000000041,-0.089,0.206,1.0659999999999998,0.028304109225322782
direct_shear_full_1MPa,1.0,124,12.1,-0.09000000000000075,-0.09,0.219,1.079,0.028649281289046234
direct_shear_full_1MPa,1.0,125,12.2,-0.08800000000000008,-0.088,0.245,1.105,0.029339625416493133
direct_shear_full_1MPa,1.0,126,12.3,-0.09000000000000075,-0.09,0.261,1.121,0.029764452571845068
direct_shear_full_1MPa,1.0,127,12.4,-0.09000000000000075,-0.09,0.286,1.146,0.03042824500208247
direct_shear_full_1MPa,1.0,128,12.5,-0.08900000000000041,-0.089,0.291,1.1509999999999998,0.030561003488129946
direct_shear_full_1MPa,1.0,129,12.6,-0.09000000000000075,-0.09,0.32,1.18,0.03133100270720533
direct_shear_full_1MPa,1.0,130,12.7,-0.09200000000000053,-0.092,0.333,1.1929999999999998,0.03167617477092878
direct_shear_full_1MPa,1.0,131,12.8,-0.09000000000000075,-0.09,0.359,1.2189999999999999,0.032366518898375676
direct_shear_full_1MPa,1.0,132,12.9,-0.09100000000000019,-0.091,0.376,1.2359999999999998,0.03281789775093711
direct_shear_full_1MPa,1.0,133,12.9,-0.09299999999999997,-0.093,0.381,1.2409999999999999,0.03295065623698459
direct_shear_full_1MPa,1.0,134,13.0,-0.09200000000000053,-0.092,0.403,1.263,0.033534793575593504
direct_shear_full_1MPa,1.0,135,13.1,-0.09200000000000053,-0.092,0.415,1.275,0.03385341394210746
direct_shear_full_1MPa,1.0,136,13.2,-0.0940000000000003,-0.094,0.438,1.2979999999999998,0.03446410297792587
direct_shear_full_1MPa,1.0,137,13.3,-0.0940000000000003,-0.094,0.465,1.325,0.03518099880258226
direct_shear_full_1MPa,1.0,138,13.4,-0.09200000000000053,-0.092,0.475,1.335,0.03544651577467722
direct_shear_full_1MPa,1.0,139,13.5,-0.09299999999999997,-0.093,0.496,1.3559999999999999,0.036004101416076635
direct_shear_full_1MPa,1.0,140,13.6,-0.09500000000000064,-0.095,0.521,1.3809999999999998,0.03666789384631404
direct_shear_full_1MPa,1.0,141,13.7,-0.09500000000000064,-0.095,0.542,1.402,0.03722547948771346
direct_shear_full_1MPa,1.0,142,13.8,-0.0940000000000003,-0.094,0.57,1.4299999999999997,0.037968927009579344
direct_shear_full_1MPa,1.0,143,13.9,-0.09500000000000064,-0.095,0.594,1.4539999999999997,0.03860616774260725
direct_shear_full_1MPa,1.0,144,14.0,-0.0940000000000003,-0.094,0.628,1.488,0.03950892544773012
direct_shear_full_1MPa,1.0,145,14.1,-0.09600000000000009,-0.096,0.657,1.517,0.0402789246668055
direct_shear_full_1MPa,1.0,146,14.2,-0.09800000000000075,-0.098,0.692,1.5519999999999998,0.041208234069137865
direct_shear_full_1MPa,1.0,147,14.3,-0.09600000000000009,-0.096,0.726,1.5859999999999999,0.042110991774260725
direct_shear_full_1MPa,1.0,148,14.4,-0.09600000000000009,-0.096,0.754,1.6139999999999999,0.04285443929612662
direct_shear_full_1MPa,1.0,149,14.5,-0.09800000000000075,-0.098,0.801,1.661,0.04410236906497294
direct_shear_full_1MPa,1.0,150,14.6,-0.09800000000000075,-0.098,0.828,1.6879999999999997,0.04481926488962932
direct_shear_full_1MPa,1.0,151,14.7,-0.09600000000000009,-0.096,0.862,1.722,0.04572202259475219
direct_shear_full_1MPa,1.0,152,14.8,-0.09800000000000075,-0.098,0.902,1.762,0.046784090483132035
direct_shear_full_1MPa,1.0,153,14.8,-0.10000000000000053,-0.1,0.927,1.787,0.04744788291336943
direct_shear_full_1MPa,1.0,154,15.0,-0.0990000000000002,-0.099,1.014,1.8739999999999999,0.04975788057059559
direct_shear_full_1MPa,1.0,155,15.1,-0.10099999999999998,-0.101,1.064,1.924,0.0510854654310704
direct_shear_full_1MPa,1.0,156,15.2,-0.0990000000000002,-0.099,1.114,1.974,0.0524130502915452
direct_shear_full_1MPa,1.0,157,15.3,-0.10000000000000053,-0.1,1.169,2.029,0.05387339363806748
direct_shear_full_1MPa,1.0,158,15.4,-0.10099999999999998,-0.101,1.22,2.08,0.05522753019575178
direct_shear_full_1MPa,1.0,159,15.5,-0.10300000000000065,-0.103,1.271,2.131,0.05658166675343607
direct_shear_full_1MPa,1.0,160,15.6,-0.10000000000000053,-0.1,1.326,2.186,0.05804201009995836
direct_shear_full_1MPa,1.0,161,15.7,-0.10099999999999998,-0.101,1.382,2.242,0.059528905143690136
direct_shear_full_1MPa,1.0,162,15.8,-0.10400000000000009,-0.104,1.454,2.314,0.061440627342773856
direct_shear_full_1MPa,1.0,163,15.9,-0.10300000000000065,-0.103,1.53,2.3899999999999997,0.06345855633069554
direct_shear_full_1MPa,1.0,164,16.0,-0.10300000000000065,-0.103,1.593,2.453,0.0651313132548938
direct_shear_full_1MPa,1.0,165,16.1,-0.10300000000000065,-0.103,1.666,2.526,0.06706958715118701
direct_shear_full_1MPa,1.0,166,16.2,-0.10500000000000043,-0.105,1.739,2.599,0.06900786104748023
direct_shear_full_1MPa,1.0,167,16.3,-0.10300000000000065,-0.103,1.826,2.686,0.07131785870470639
direct_shear_full_1MPa,1.0,168,16.4,-0.10500000000000043,-0.105,1.891,2.751,0.07304371902332363
direct_shear_full_1MPa,1.0,169,16.5,-0.10600000000000076,-0.106,1.963,2.823,0.07495544122240734
direct_shear_full_1MPa,1.0,170,16.5,-0.10400000000000009,0.0,2.038,2.8979999999999997,0.07694681851311953
direct_shear_full_1MPa,1.0,171,16.6,-0.10500000000000043,0.0,2.118,2.9779999999999998,0.07907095428987923
direct_shear_full_1MPa,1.0,172,16.7,-0.10800000000000054,0.0,2.184,3.044,0.08082336630570597
direct_shear_full_1MPa,1.0,173,16.8,-0.10600000000000076,0.0,2.276,3.1359999999999997,0.0832661224489796
direct_shear_full_1MPa,1.0,174,16.9,-0.10600000000000076,0.0,2.355,3.215,0.08536370652852979
direct_shear_full_1MPa,1.0,175,17.0,-0.10800000000000054,0.0,2.44,3.3,0.08762060079133695
direct_shear_full_1MPa,1.0,176,17.1,-0.1070000000000002,0.001,2.501,3.3609999999999998,0.08924025432111621
direct_shear_full_1MPa,1.0,177,17.2,-0.10800000000000054,0.0,2.569,3.429,0.09104576973136194
direct_shear_full_1MPa,1.0,178,17.3,-0.10899999999999999,-0.001,2.625,3.485,0.09253266477509373
direct_shear_full_1MPa,1.0,179,17.4,-0.11000000000000032,-0.002,2.694,3.554,0.09436473188254894
direct_shear_full_1MPa,1.0,180,17.5,-0.10800000000000054,0.0,2.751,3.6109999999999998,0.09587817862349023
direct_shear_full_1MPa,1.0,181,17.6,-0.10899999999999999,-0.001,2.808,3.6679999999999997,0.0973916253644315
direct_shear_full_1MPa,1.0,182,17.7,-0.1120000000000001,-0.004,2.871,3.731,0.09906438228862975
direct_shear_full_1MPa,1.0,183,17.8,-0.1120000000000001,-0.004,2.919,3.779,0.10033886375468556
direct_shear_full_1MPa,1.0,184,17.9,-0.1120000000000001,-0.004,2.975,3.835,0.10182575879841735
direct_shear_full_1MPa,1.0,185,18.0,-0.11399999999999988,-0.006,3.025,3.885,0.10315334365889214
direct_shear_full_1MPa,1.0,186,18.1,-0.11600000000000055,-0.008,3.067,3.927,0.10426851494169098
direct_shear_full_1MPa,1.0,187,18.1,-0.11300000000000043,-0.005,3.125,3.985,0.10580851337984175
direct_shear_full_1MPa,1.0,188,18.2,-0.11399999999999988,-0.006,3.171,4.031,0.10702989145147856
direct_shear_full_1MPa,1.0,189,18.3,-0.11699999999999999,-0.009,3.206,4.066,0.10795920085381093
direct_shear_full_1MPa,1.0,190,18.4,-0.11600000000000055,-0.008,3.254,4.114,0.10923368231986674
direct_shear_full_1MPa,1.0,191,18.5,-0.11600000000000055,-0.008,3.303,4.163,0.11053471548313205
direct_shear_full_1MPa,1.0,192,18.6,-0.11900000000000066,-0.011,3.349,4.209,0.11175609355476886
direct_shear_full_1MPa,1.0,193,18.7,-0.11699999999999999,-0.009,3.373,4.2330000000000005,0.11239333428779678
direct_shear_full_1MPa,1.0,194,18.8,-0.11900000000000066,-0.011,3.409,4.269,0.11334919538733863
direct_shear_full_1MPa,1.0,195,18.9,-0.12199999999999989,-0.014,3.454,4.314,0.11454402176176595
direct_shear_full_1MPa,1.0,196,19.0,-0.12100000000000044,-0.013,3.481,4.340999999999999,0.11526091758642233
direct_shear_full_1MPa,1.0,197,19.2,-0.12400000000000055,-0.016,3.531,4.391,0.11658850244689714
direct_shear_full_1MPa,1.0,198,19.2,-0.12300000000000022,-0.015,3.564,4.4239999999999995,0.11746470845481051
direct_shear_full_1MPa,1.0,199,19.3,-0.125,-0.017,3.601,4.461,0.11844712125156188
direct_shear_full_1MPa,1.0,200,19.5,-0.125,-0.017,3.625,4.484999999999999,0.11908436198458976
direct_shear_full_1MPa,1.0,201,19.6,-0.12600000000000033,-0.018,3.657,4.5169999999999995,0.11993401629529364
direct_shear_full_1MPa,1.0,202,19.6,-0.12900000000000045,-0.021,3.692,4.552,0.120863325697626
direct_shear_full_1MPa,1.0,203,19.7,-0.1280000000000001,-0.02,3.728,4.588,0.12181918679716787
direct_shear_full_1MPa,1.0,204,19.8,-0.12900000000000045,-0.021,3.758,4.618,0.12261573771345276
direct_shear_full_1MPa,1.0,205,19.9,-0.133,-0.025,3.774,4.634,0.1230405648688047
direct_shear_full_1MPa,1.0,206,20.0,-0.13100000000000023,-0.023,3.817,4.677,0.12418228784881301
direct_shear_full_1MPa,1.0,207,20.2,-0.13500000000000068,-0.027,3.827,4.686999999999999,0.12444780482090796
direct_shear_full_1MPa,1.0,208,20.3,-0.13400000000000034,-0.026,3.845,4.705,0.12492573537067891
direct_shear_full_1MPa,1.0,209,20.4,-0.1379999999999999,-0.03,3.862,4.7219999999999995,0.12537711422324033
direct_shear_full_1MPa,1.0,210,20.5,-0.13700000000000045,-0.029,3.867,4.727,0.12550987270928782
direct_shear_full_1MPa,1.0,211,20.6,-0.1379999999999999,-0.03,3.886,4.746,0.12601435495626825
direct_shear_full_1MPa,1.0,212,20.7,-0.14100000000000001,-0.033,3.905,4.765,0.12651883720324866
direct_shear_full_1MPa,1.0,213,20.8,-0.14000000000000057,-0.032,3.923,4.7829999999999995,0.12699676775301957
direct_shear_full_1MPa,1.0,214,20.9,-0.14300000000000068,-0.035,3.95,4.8100000000000005,0.127713663577676
direct_shear_full_1MPa,1.0,215,21.0,-0.14500000000000046,-0.037,3.951,4.811,0.1277402152748855
direct_shear_full_1MPa,1.0,216,21.1,-0.14400000000000013,-0.036,3.966,4.8260000000000005,0.12813849073302794
direct_shear_full_1MPa,1.0,217,21.2,-0.1459999999999999,-0.038,3.972,4.832,0.1282978009162849
direct_shear_full_1MPa,1.0,218,21.3,-0.14800000000000058,-0.04,3.981,4.840999999999999,0.12853676619117035
direct_shear_full_1MPa,1.0,219,21.3,-0.14800000000000058,-0.04,3.985,4.845,0.12864297298000835
direct_shear_full_1MPa,1.0,220,21.4,-0.14900000000000002,-0.041,3.981,4.840999999999999,0.12853676619117035
direct_shear_full_1MPa,1.0,221,21.5,-0.1510000000000007,-0.043,3.989,4.849,0.12874917976884634
direct_shear_full_1MPa,1.0,222,21.6,-0.15300000000000047,-0.045,3.993,4.853,0.1288553865576843
direct_shear_full_1MPa,1.0,223,21.7,-0.15200000000000014,-0.044,4.012,4.872,0.12935986880466474
direct_shear_full_1MPa,1.0,224,21.8,-0.15399999999999991,-0.046,4.008,4.868,0.12925366201582678
direct_shear_full_1MPa,1.0,225,21.9,-0.15700000000000003,-0.049,4.001,4.861000000000001,0.12906780013536032
direct_shear_full_1MPa,1.0,226,22.0,-0.15700000000000003,-0.049,4.003,4.8629999999999995,0.12912090352977926
direct_shear_full_1MPa,1.0,227,22.1,-0.15800000000000036,-0.05,3.992,4.852,0.12882883486047483
direct_shear_full_1MPa,1.0,228,22.2,-0.16000000000000014,-0.052,3.99,4.85,0.12877573146605584
direct_shear_full_1MPa,1.0,229,22.3,-0.16100000000000048,-0.053,3.994,4.854,0.12888193825489383
direct_shear_full_1MPa,1.0,230,22.4,-0.16199999999999992,-0.054,3.982,4.8420000000000005,0.12856331788837988
direct_shear_full_1MPa,1.0,231,22.6,-0.16600000000000037,-0.058,3.981,4.840999999999999,0.12853676619117035
direct_shear_full_1MPa,1.0,232,22.7,-0.1670000000000007,-0.059,3.982,4.8420000000000005,0.12856331788837988
direct_shear_full_1MPa,1.0,233,22.8,-0.16999999999999993,-0.062,3.972,4.832,0.1282978009162849
