target,method,normal_stress_mpa,rmse,mae,r2,train_epoch,train_loss,device
shear_stress_mpa,GeoSPIN,1.0,0.0756379573005082,0.0434793792041081,0.5383348279097109,1800,0.0001925330288941,cuda
shear_stress_mpa,GeoSPIN,2.0,0.0822866346049563,0.0401977127558762,0.7638316164944872,1800,0.0001925330288941,cuda
shear_stress_mpa,GeoSPIN,3.0,0.1150976728398632,0.043008219305621,0.8225561973171417,1800,0.0001925330288941,cuda
shear_stress_mpa,C-BB,1.0,0.2166954393035203,0.1412573496072807,-2.7891960108021743,1800,0.0001925330288941,cuda
shear_stress_mpa,C-BB,2.0,0.2850358373686437,0.1964869581750862,-1.8337536306820472,1800,0.0001925330288941,cuda
shear_stress_mpa,C-BB,3.0,0.4397750571099676,0.286298781227993,-1.5905318601369292,1800,0.0001925330288941,cuda
dilation_proxy_mm,GeoSPIN,1.0,0.0496868023225439,0.0164388707614704,0.9997545288446338,1800,0.0001925330288941,cuda
dilation_proxy_mm,GeoSPIN,2.0,0.0460114838876973,0.0224091695497614,0.999795326231045,1800,0.0001925330288941,cuda
dilation_proxy_mm,GeoSPIN,3.0,0.0329929976021679,0.0145231071122244,0.999896017220457,1800,0.0001925330288941,cuda
dilation_proxy_mm,C-BB,1.0,1.4021331143674054,1.0945793375846669,0.8045224607266057,1800,0.0001925330288941,cuda
dilation_proxy_mm,C-BB,2.0,1.3095559930130658,1.0305673226337797,0.8342025478250773,1800,0.0001925330288941,cuda
dilation_proxy_mm,C-BB,3.0,1.3368548782972425,1.0462948865198844,0.8292792139558403,1800,0.0001925330288941,cuda
