dataset,protocol,model,R2,RMSE,MAE,MAAPE,fold,heldout_group
g5pf6k9n2w,random_75_25,CatBoost,0.9819176197052002,0.18827137624406165,0.14714090526103973,0.06545569747686386,,
g5pf6k9n2w,leave_one_profile_out,CatBoost,0.8305554389953613,0.5644310019622458,0.520923912525177,0.17396481335163116,1.0,JA
g5pf6k9n2w,leave_one_profile_out,CatBoost,0.9772297739982605,0.22070764013752514,0.15848784148693085,0.04582422226667404,2.0,JB
g5pf6k9n2w,leave_one_profile_out,CatBoost,0.7938129901885986,0.7624377647391313,0.6755664348602295,0.16686366498470306,3.0,JC
g5pf6k9n2w,leave_one_immersion_out,CatBoost,0.9563238620758057,0.35409243824939457,0.2657299041748047,0.06611566990613937,1.0,0
g5pf6k9n2w,leave_one_immersion_out,CatBoost,0.9702770709991455,0.2692985912652323,0.23108288645744324,0.0682235062122345,2.0,30
g5pf6k9n2w,leave_one_immersion_out,CatBoost,0.9687352776527405,0.25596971534991264,0.2009454369544983,0.0613689161837101,3.0,180
g5pf6k9n2w,leave_one_immersion_out,CatBoost,0.9669802784919739,0.25331660542242546,0.18594513833522797,0.06807706505060196,4.0,360
