dataset,protocol,model,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAAPE_mean,MAAPE_std
g5pf6k9n2w,leave_one_immersion_out,CatBoost,0.9655791223049164,0.006315460370717143,0.28316933757174123,0.04779640460195399,0.22092584148049355,0.03527716803703281,0.06594628933817148,0.003199320584133963
g5pf6k9n2w,leave_one_profile_out,CatBoost,0.8671994010607401,0.09704387725486215,0.5158588022796341,0.2741118857541999,0.4516593962907791,0.2654067592170858,0.1288842335343361,0.07201965482332161
g5pf6k9n2w,random_75_25,CatBoost,0.9819176197052002,,0.18827137624406165,,0.14714090526103973,,0.06545569747686386,
