dataset,protocol,model,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAAPE_mean,MAAPE_std,rank_by_rmse
g5pf6k9n2w,leave_one_immersion_out,PeriodicMonotone_ours,0.9759792983531952,0.0165133329324993,0.2282337975438832,0.0961636563553345,0.1785632818937301,0.0537239882399718,0.0529109304770827,0.0077204472020013,1
g5pf6k9n2w,leave_one_profile_out,ResidualPeriodicMonotone_ours,0.885331948598226,0.0850516777399001,0.4771002555667798,0.259741849209994,0.4080176651477813,0.2452559537823021,0.1175703021387259,0.0649174429386228,1
g5pf6k9n2w,random_75_25,ResidualPeriodicMonotone_ours,0.9904992580413818,,0.1364693683307145,,0.1052436903119087,,0.0437180437147617,,1
rockmb_2025,group_5fold,MonotonePeakNet_ours,0.2831090927124023,0.1390270148042369,2.022948408170936,1.9149827928697156,1.3038750350475312,1.1162828636616011,0.3248343914747238,0.1002542711710545,1
rockmb_2025,paper_70_30,ResidualPeriodicMonotone_ours,0.9566965103149414,,0.8356419691532682,,0.4718093574047088,,0.2005170583724975,,1
w7m28x23kw,random_75_25,FTTransformer_2021,0.868319034576416,,13.892014527308598,,11.07683563232422,,0.5448445081710815,,1
