dataset,model,feature,sample_id,feature_value,prediction
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,1.2653061224489797,1.1921604871749878
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,1.4183673469387754,1.2660654783248901
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,1.5714285714285714,1.4697060585021973
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,1.7244897959183674,1.482983112335205
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,1.8775510204081634,1.5875325202941895
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,2.0306122448979593,1.6849762201309204
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,2.183673469387755,1.8648979663848877
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,2.336734693877551,1.7998006343841553
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,2.489795918367347,1.9813711643218994
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,2.642857142857143,2.020864486694336
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,2.795918367346939,2.1437947750091553
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,2.9489795918367347,2.1710336208343506
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,3.1020408163265305,2.2544925212860107
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,3.2551020408163267,2.3360016345977783
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,3.4081632653061225,2.491192579269409
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,3.5612244897959187,2.4288439750671387
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,3.7142857142857144,2.5891218185424805
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,3.86734693877551,2.5281269550323486
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,4.020408163265307,2.5340723991394043
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,4.173469387755102,2.6237292289733887
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,4.326530612244898,2.9282314777374268
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,4.479591836734694,2.647142171859741
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,4.63265306122449,2.726536989212036
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,4.785714285714286,2.71264910697937
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,4.938775510204081,2.985408067703247
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,5.091836734693878,2.8612632751464844
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,5.244897959183674,2.9864859580993652
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,5.3979591836734695,2.97006893157959
