experiment,final_train_loss,median_grad_norm,max_grad_norm,loss_reduction_ratio,R2,RMSE,MAE,MAAPE,relative_L2_percent
raw_sigma_raw_tau_plain_mlp,0.08260664343833923,0.6061103045940399,31.801395416259766,164.53186301125723,0.8665801286697388,1.4667937053945863,0.5382348299026489,0.20482756197452545,29.579898715019226
log_sigma_raw_tau_plain_mlp,0.08031260967254639,0.544617235660553,31.94912338256836,168.68858011818125,0.8611823320388794,1.4961707989247264,0.5276899933815002,0.19701628386974335,30.172327160835266
raw_sigma_asinh_tau_plain_mlp,0.007728756871074438,0.006578053580597043,1.1941152811050415,32.639046442212354,0.8858788013458252,1.3565691787706464,0.5104926824569702,0.18074993789196014,27.35706865787506
log_sigma_asinh_tau_plain_mlp,0.0075963824056088924,0.008002026006579399,1.184653401374817,33.08225122289702,0.9176746606826782,1.1521939455063646,0.4748137891292572,0.17863363027572632,23.235565423965454
stress_path_periodic_residual_monotone,,,,,0.9463278651237488,0.9303219017140618,0.46930450201034546,0.18877367675304413,18.76121461391449
